step,event,fund,return_percent,label,amount_usdt,pool_available,treasury_surplus,protected_withdrawable,trx_burned_cumulative,trx_cost_usdt_cumulative,notes
170,payout,Aggressive Alpha,40,Investment69,70,953.50,5.80,947.70,2390,597.50,"Triad payout 70 USDT (40%); unlocked by Investment100 and Investment101; +2×10 TRX (payout+withdraw)"
171,subscription,Capital Shield,6,Investment102,50,1003.50,18.13,985.37,2400,600.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
172,subscription,Capital Shield,6,Investment103,50,1053.50,30.46,1023.04,2410,602.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
173,payout,Aggressive Alpha,40,Investment70,70,983.50,30.46,953.04,2430,607.50,"Triad payout 70 USDT (40%); unlocked by Investment102 and Investment103; +2×10 TRX (payout+withdraw)"
174,subscription,Balanced Growth,15,Investment104,50,1033.50,41.29,992.21,2440,610.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
175,subscription,Capital Shield,6,Investment105,50,1083.50,53.62,1029.88,2450,612.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
176,surplus_payout,Capital Shield,6,Investment75,53,1030.50,0.62,1029.88,2470,617.50,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
177,payout,Aggressive Alpha,40,Investment71,70,960.50,0.62,959.88,2490,622.50,"Triad payout 70 USDT (40%); unlocked by Investment104 and Investment105; +2×10 TRX (payout+withdraw)"
178,subscription,Aggressive Alpha,40,Investment106,50,1010.50,7.28,1003.22,2500,625.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
179,subscription,Aggressive Alpha,40,Investment107,50,1060.50,13.94,1046.56,2510,627.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
180,payout,Balanced Growth,15,Investment72,57.5,1003.00,13.94,989.06,2530,632.50,"Triad payout 57.5 USDT (15%); unlocked by Investment106 and Investment107; +2×10 TRX (payout+withdraw)"
181,subscription,Growth Partners,25,Investment108,50,1053.00,23.10,1029.90,2540,635.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
182,subscription,Stable Yield,10,Investment109,50,1103.00,34.76,1068.24,2550,637.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
183,payout,Growth Partners,25,Investment73,62.5,1040.50,34.76,1005.74,2570,642.50,"Triad payout 62.5 USDT (25%); unlocked by Investment108 and Investment109; +2×10 TRX (payout+withdraw)"
184,subscription,Growth Partners,25,Investment110,50,1090.50,43.92,1046.58,2580,645.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
185,subscription,Balanced Growth,15,Investment111,50,1140.50,54.75,1085.75,2590,647.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
186,surplus_payout,Capital Shield,6,Investment88,53,1087.50,1.75,1085.75,2610,652.50,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
187,payout,Growth Partners,25,Investment74,62.5,1025.00,1.75,1023.25,2630,657.50,"Triad payout 62.5 USDT (25%); unlocked by Investment110 and Investment111; +2×10 TRX (payout+withdraw)"
188,subscription,Aggressive Alpha,40,Investment112,50,1075.00,8.41,1066.59,2640,660.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
189,subscription,Balanced Growth,15,Investment113,50,1125.00,19.24,1105.76,2650,662.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
190,payout,Balanced Growth,15,Investment76,57.5,1067.50,19.24,1048.26,2670,667.50,"Triad payout 57.5 USDT (15%); unlocked by Investment112 and Investment113; +2×10 TRX (payout+withdraw)"
191,subscription,Growth Partners,25,Investment114,50,1117.50,28.40,1089.10,2680,670.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
192,subscription,Balanced Growth,15,Investment115,50,1167.50,39.23,1128.27,2690,672.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
193,payout,Stable Yield,10,Investment77,55,1112.50,39.23,1073.27,2710,677.50,"Triad payout 55 USDT (10%); unlocked by Investment114 and Investment115; +2×10 TRX (payout+withdraw)"
194,subscription,Aggressive Alpha,40,Investment116,50,1162.50,45.89,1116.61,2720,680.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
195,subscription,Stable Yield,10,Investment117,50,1212.50,57.55,1154.95,2730,682.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
196,surplus_payout,Stable Yield,10,Investment78,55,1157.50,2.55,1154.95,2750,687.50,"Surplus ≥ 55; pool and surplus −55; +2×10 TRX (payout+withdraw)"
197,payout,Growth Partners,25,Investment79,62.5,1095.00,2.55,1092.45,2770,692.50,"Triad payout 62.5 USDT (25%); unlocked by Investment116 and Investment117; +2×10 TRX (payout+withdraw)"
198,subscription,Balanced Growth,15,Investment118,50,1145.00,13.38,1131.62,2780,695.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
199,subscription,Capital Shield,6,Investment119,50,1195.00,25.71,1169.29,2790,697.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
200,payout,Stable Yield,10,Investment80,55,1140.00,25.71,1114.29,2810,702.50,"Triad payout 55 USDT (10%); unlocked by Investment118 and Investment119; +2×10 TRX (payout+withdraw)"
201,subscription,Growth Partners,25,Investment120,50,1190.00,34.87,1155.13,2820,705.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
202,subscription,Aggressive Alpha,40,Investment121,50,1240.00,41.53,1198.47,2830,707.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
203,payout,Balanced Growth,15,Investment81,57.5,1182.50,41.53,1140.97,2850,712.50,"Triad payout 57.5 USDT (15%); unlocked by Investment120 and Investment121; +2×10 TRX (payout+withdraw)"
204,subscription,Growth Partners,25,Investment122,50,1232.50,50.69,1181.81,2860,715.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
205,subscription,Balanced Growth,15,Investment123,50,1282.50,61.52,1220.98,2870,717.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
206,surplus_payout,Balanced Growth,15,Investment82,57.5,1225.00,4.02,1220.98,2890,722.50,"Surplus ≥ 57.5; pool and surplus −57.5; +2×10 TRX (payout+withdraw)"
207,payout,Growth Partners,25,Investment83,62.5,1162.50,4.02,1158.48,2910,727.50,"Triad payout 62.5 USDT (25%); unlocked by Investment122 and Investment123; +2×10 TRX (payout+withdraw)"
208,subscription,Capital Shield,6,Investment124,50,1212.50,16.35,1196.15,2920,730.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
209,subscription,Capital Shield,6,Investment125,50,1262.50,28.68,1233.82,2930,732.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
210,payout,Aggressive Alpha,40,Investment84,70,1192.50,28.68,1163.82,2950,737.50,"Triad payout 70 USDT (40%); unlocked by Investment124 and Investment125; +2×10 TRX (payout+withdraw)"
211,subscription,Growth Partners,25,Investment126,50,1242.50,37.84,1204.66,2960,740.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
212,subscription,Stable Yield,10,Investment127,50,1292.50,49.50,1243.00,2970,742.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
213,payout,Stable Yield,10,Investment85,55,1237.50,49.50,1188.00,2990,747.50,"Triad payout 55 USDT (10%); unlocked by Investment126 and Investment127; +2×10 TRX (payout+withdraw)"
214,subscription,Balanced Growth,15,Investment128,50,1287.50,60.33,1227.17,3000,750.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
215,surplus_payout,Balanced Growth,15,Investment86,57.5,1230.00,2.83,1227.17,3020,755.00,"Surplus ≥ 57.5; pool and surplus −57.5; +2×10 TRX (payout+withdraw)"
216,subscription,Growth Partners,25,Investment129,50,1280.00,11.99,1268.01,3030,757.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
217,payout,Balanced Growth,15,Investment87,57.5,1222.50,11.99,1210.51,3050,762.50,"Triad payout 57.5 USDT (15%); unlocked by Investment128 and Investment129; +2×10 TRX (payout+withdraw)"
218,subscription,Growth Partners,25,Investment130,50,1272.50,21.15,1251.35,3060,765.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
219,subscription,Aggressive Alpha,40,Investment131,50,1322.50,27.81,1294.69,3070,767.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
220,payout,Stable Yield,10,Investment89,55,1267.50,27.81,1239.69,3090,772.50,"Triad payout 55 USDT (10%); unlocked by Investment130 and Investment131; +2×10 TRX (payout+withdraw)"
221,subscription,Stable Yield,10,Investment132,50,1317.50,39.47,1278.03,3100,775.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
222,subscription,Stable Yield,10,Investment133,50,1367.50,51.13,1316.37,3110,777.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
223,payout,Balanced Growth,15,Investment90,57.5,1310.00,51.13,1258.87,3130,782.50,"Triad payout 57.5 USDT (15%); unlocked by Investment132 and Investment133; +2×10 TRX (payout+withdraw)"
224,subscription,Balanced Growth,15,Investment134,50,1360.00,61.96,1298.04,3140,785.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
225,surplus_payout,Capital Shield,6,Investment91,53,1307.00,8.96,1298.04,3160,790.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
226,subscription,Stable Yield,10,Investment135,50,1357.00,20.62,1336.38,3170,792.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
227,payout,Capital Shield,6,Investment92,53,1304.00,20.62,1283.38,3190,797.50,"Triad payout 53 USDT (6%); unlocked by Investment134 and Investment135; +2×10 TRX (payout+withdraw)"
228,subscription,Balanced Growth,15,Investment136,50,1354.00,31.45,1322.55,3200,800.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
229,subscription,Stable Yield,10,Investment137,50,1404.00,43.11,1360.89,3210,802.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
230,payout,Growth Partners,25,Investment93,62.5,1341.50,43.11,1298.39,3230,807.50,"Triad payout 62.5 USDT (25%); unlocked by Investment136 and Investment137; +2×10 TRX (payout+withdraw)"
231,subscription,Aggressive Alpha,40,Investment138,50,1391.50,49.77,1341.73,3240,810.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
232,subscription,Capital Shield,6,Investment139,50,1441.50,62.10,1379.40,3250,812.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
233,surplus_payout,Stable Yield,10,Investment94,55,1386.50,7.10,1379.40,3270,817.50,"Surplus ≥ 55; pool and surplus −55; +2×10 TRX (payout+withdraw)"
234,payout,Stable Yield,10,Investment95,55,1331.50,7.10,1324.40,3290,822.50,"Triad payout 55 USDT (10%); unlocked by Investment138 and Investment139; +2×10 TRX (payout+withdraw)"
235,subscription,Stable Yield,10,Investment140,50,1381.50,18.76,1362.74,3300,825.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
236,subscription,Capital Shield,6,Investment141,50,1431.50,31.09,1400.41,3310,827.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
237,payout,Stable Yield,10,Investment96,55,1376.50,31.09,1345.41,3330,832.50,"Triad payout 55 USDT (10%); unlocked by Investment140 and Investment141; +2×10 TRX (payout+withdraw)"
238,subscription,Stable Yield,10,Investment142,50,1426.50,42.75,1383.75,3340,835.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
239,subscription,Aggressive Alpha,40,Investment143,50,1476.50,49.41,1427.09,3350,837.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
240,payout,Balanced Growth,15,Investment97,57.5,1419.00,49.41,1369.59,3370,842.50,"Triad payout 57.5 USDT (15%); unlocked by Investment142 and Investment143; +2×10 TRX (payout+withdraw)"
241,subscription,Aggressive Alpha,40,Investment144,50,1469.00,56.07,1412.93,3380,845.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
242,surplus_payout,Capital Shield,6,Investment99,53,1416.00,3.07,1412.93,3400,850.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
243,subscription,Stable Yield,10,Investment145,50,1466.00,14.73,1451.27,3410,852.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
244,payout,Balanced Growth,15,Investment98,57.5,1408.50,14.73,1393.77,3430,857.50,"Triad payout 57.5 USDT (15%); unlocked by Investment144 and Investment145; +2×10 TRX (payout+withdraw)"
245,subscription,Balanced Growth,15,Investment146,50,1458.50,25.56,1432.94,3440,860.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
246,subscription,Capital Shield,6,Investment147,50,1508.50,37.89,1470.61,3450,862.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
247,payout,Capital Shield,6,Investment100,53,1455.50,37.89,1417.61,3470,867.50,"Triad payout 53 USDT (6%); unlocked by Investment146 and Investment147; +2×10 TRX (payout+withdraw)"
248,subscription,Stable Yield,10,Investment148,50,1505.50,49.55,1455.95,3480,870.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
249,subscription,Growth Partners,25,Investment149,50,1555.50,58.71,1496.79,3490,872.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
250,surplus_payout,Capital Shield,6,Investment102,53,1502.50,5.71,1496.79,3510,877.50,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
251,payout,Growth Partners,25,Investment101,62.5,1440.00,5.71,1434.29,3530,882.50,"Triad payout 62.5 USDT (25%); unlocked by Investment148 and Investment149; +2×10 TRX (payout+withdraw)"
252,subscription,Balanced Growth,15,Investment150,50,1490.00,16.54,1473.46,3540,885.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
253,subscription,Aggressive Alpha,40,Investment151,50,1540.00,23.20,1516.80,3550,887.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
254,payout,Capital Shield,6,Investment103,53,1487.00,23.20,1463.80,3570,892.50,"Triad payout 53 USDT (6%); unlocked by Investment150 and Investment151; +2×10 TRX (payout+withdraw)"
255,subscription,Aggressive Alpha,40,Investment152,50,1537.00,29.86,1507.14,3580,895.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
256,subscription,Growth Partners,25,Investment153,50,1587.00,39.02,1547.98,3590,897.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
257,payout,Balanced Growth,15,Investment104,57.5,1529.50,39.02,1490.48,3610,902.50,"Triad payout 57.5 USDT (15%); unlocked by Investment152 and Investment153; +2×10 TRX (payout+withdraw)"
258,subscription,Aggressive Alpha,40,Investment154,50,1579.50,45.68,1533.82,3620,905.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
259,subscription,Stable Yield,10,Investment155,50,1629.50,57.34,1572.16,3630,907.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
260,surplus_payout,Capital Shield,6,Investment105,53,1576.50,4.34,1572.16,3650,912.50,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
261,payout,Aggressive Alpha,40,Investment106,70,1506.50,4.34,1502.16,3670,917.50,"Triad payout 70 USDT (40%); unlocked by Investment154 and Investment155; +2×10 TRX (payout+withdraw)"
262,subscription,Balanced Growth,15,Investment156,50,1556.50,15.17,1541.33,3680,920.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
263,subscription,Aggressive Alpha,40,Investment157,50,1606.50,21.83,1584.67,3690,922.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
264,payout,Aggressive Alpha,40,Investment107,70,1536.50,21.83,1514.67,3710,927.50,"Triad payout 70 USDT (40%); unlocked by Investment156 and Investment157; +2×10 TRX (payout+withdraw)"
265,subscription,Balanced Growth,15,Investment158,50,1586.50,32.66,1553.84,3720,930.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
266,subscription,Stable Yield,10,Investment159,50,1636.50,44.32,1592.18,3730,932.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
267,payout,Growth Partners,25,Investment108,62.5,1574.00,44.32,1529.68,3750,937.50,"Triad payout 62.5 USDT (25%); unlocked by Investment158 and Investment159; +2×10 TRX (payout+withdraw)"
268,subscription,Balanced Growth,15,Investment160,50,1624.00,55.15,1568.85,3760,940.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
269,surplus_payout,Stable Yield,10,Investment109,55,1569.00,0.15,1568.85,3780,945.00,"Surplus ≥ 55; pool and surplus −55; +2×10 TRX (payout+withdraw)"
270,subscription,Stable Yield,10,Investment161,50,1619.00,11.81,1607.19,3790,947.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
271,payout,Growth Partners,25,Investment110,62.5,1556.50,11.81,1544.69,3810,952.50,"Triad payout 62.5 USDT (25%); unlocked by Investment160 and Investment161; +2×10 TRX (payout+withdraw)"
272,subscription,Growth Partners,25,Investment162,50,1606.50,20.97,1585.53,3820,955.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
273,subscription,Aggressive Alpha,40,Investment163,50,1656.50,27.63,1628.87,3830,957.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
274,payout,Balanced Growth,15,Investment111,57.5,1599.00,27.63,1571.37,3850,962.50,"Triad payout 57.5 USDT (15%); unlocked by Investment162 and Investment163; +2×10 TRX (payout+withdraw)"
275,subscription,Balanced Growth,15,Investment164,50,1649.00,38.46,1610.54,3860,965.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
276,subscription,Balanced Growth,15,Investment165,50,1699.00,49.29,1649.71,3870,967.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
277,payout,Aggressive Alpha,40,Investment112,70,1629.00,49.29,1579.71,3890,972.50,"Triad payout 70 USDT (40%); unlocked by Investment164 and Investment165; +2×10 TRX (payout+withdraw)"
278,subscription,Growth Partners,25,Investment166,50,1679.00,58.45,1620.55,3900,975.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
279,surplus_payout,Balanced Growth,15,Investment113,57.5,1621.50,0.95,1620.55,3920,980.00,"Surplus ≥ 57.5; pool and surplus −57.5; +2×10 TRX (payout+withdraw)"
280,subscription,Aggressive Alpha,40,Investment167,50,1671.50,7.61,1663.89,3930,982.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
281,payout,Growth Partners,25,Investment114,62.5,1609.00,7.61,1601.39,3950,987.50,"Triad payout 62.5 USDT (25%); unlocked by Investment166 and Investment167; +2×10 TRX (payout+withdraw)"
282,subscription,Stable Yield,10,Investment168,50,1659.00,19.27,1639.73,3960,990.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
283,subscription,Capital Shield,6,Investment169,50,1709.00,31.60,1677.40,3970,992.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
284,payout,Balanced Growth,15,Investment115,57.5,1651.50,31.60,1619.90,3990,997.50,"Triad payout 57.5 USDT (15%); unlocked by Investment168 and Investment169; +2×10 TRX (payout+withdraw)"
285,subscription,Growth Partners,25,Investment170,50,1701.50,40.76,1660.74,4000,1000.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
286,subscription,Growth Partners,25,Investment171,50,1751.50,49.92,1701.58,4010,1002.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
287,payout,Aggressive Alpha,40,Investment116,70,1681.50,49.92,1631.58,4030,1007.50,"Triad payout 70 USDT (40%); unlocked by Investment170 and Investment171; +2×10 TRX (payout+withdraw)"
288,subscription,Capital Shield,6,Investment172,50,1731.50,62.25,1669.25,4040,1010.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
289,surplus_payout,Stable Yield,10,Investment117,55,1676.50,7.25,1669.25,4060,1015.00,"Surplus ≥ 55; pool and surplus −55; +2×10 TRX (payout+withdraw)"
290,subscription,Capital Shield,6,Investment173,50,1726.50,19.58,1706.92,4070,1017.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
291,payout,Balanced Growth,15,Investment118,57.5,1669.00,19.58,1649.42,4090,1022.50,"Triad payout 57.5 USDT (15%); unlocked by Investment172 and Investment173; +2×10 TRX (payout+withdraw)"
292,subscription,Balanced Growth,15,Investment174,50,1719.00,30.41,1688.59,4100,1025.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
293,subscription,Balanced Growth,15,Investment175,50,1769.00,41.24,1727.76,4110,1027.50,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
294,payout,Capital Shield,6,Investment119,53,1716.00,41.24,1674.76,4130,1032.50,"Triad payout 53 USDT (6%); unlocked by Investment174 and Investment175; +2×10 TRX (payout+withdraw)"
295,subscription,Stable Yield,10,Investment176,50,1766.00,52.90,1713.10,4140,1035.00,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
296,subscription,Stable Yield,10,Investment177,50,1816.00,64.56,1751.44,4150,1037.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
297,surplus_payout,Growth Partners,25,Investment120,62.5,1753.50,2.06,1751.44,4170,1042.50,"Surplus ≥ 62.5; pool and surplus −62.5; +2×10 TRX (payout+withdraw)"
298,payout,Aggressive Alpha,40,Investment121,70,1683.50,2.06,1681.44,4190,1047.50,"Triad payout 70 USDT (40%); unlocked by Investment176 and Investment177; +2×10 TRX (payout+withdraw)"
299,subscription,Capital Shield,6,Investment178,50,1733.50,14.39,1719.11,4200,1050.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
300,subscription,Growth Partners,25,Investment179,50,1783.50,23.55,1759.95,4210,1052.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
301,payout,Growth Partners,25,Investment122,62.5,1721.00,23.55,1697.45,4230,1057.50,"Triad payout 62.5 USDT (25%); unlocked by Investment178 and Investment179; +2×10 TRX (payout+withdraw)"
302,subscription,Balanced Growth,15,Investment180,50,1771.00,34.38,1736.62,4240,1060.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
303,subscription,Growth Partners,25,Investment181,50,1821.00,43.54,1777.46,4250,1062.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
304,payout,Balanced Growth,15,Investment123,57.5,1763.50,43.54,1719.96,4270,1067.50,"Triad payout 57.5 USDT (15%); unlocked by Investment180 and Investment181; +2×10 TRX (payout+withdraw)"
305,subscription,Balanced Growth,15,Investment182,50,1813.50,54.37,1759.13,4280,1070.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
306,surplus_payout,Capital Shield,6,Investment124,53,1760.50,1.37,1759.13,4300,1075.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
307,subscription,Aggressive Alpha,40,Investment183,50,1810.50,8.03,1802.47,4310,1077.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
308,payout,Capital Shield,6,Investment125,53,1757.50,8.03,1749.47,4330,1082.50,"Triad payout 53 USDT (6%); unlocked by Investment182 and Investment183; +2×10 TRX (payout+withdraw)"
309,subscription,Balanced Growth,15,Investment184,50,1807.50,18.86,1788.64,4340,1085.00,"+10.83 surplus on subscribe (Balanced Growth); +10 TRX (invest)"
310,subscription,Stable Yield,10,Investment185,50,1857.50,30.52,1826.98,4350,1087.50,"+11.66 surplus on subscribe (Stable Yield); +10 TRX (invest)"
311,payout,Growth Partners,25,Investment126,62.5,1795.00,30.52,1764.48,4370,1092.50,"Triad payout 62.5 USDT (25%); unlocked by Investment184 and Investment185; +2×10 TRX (payout+withdraw)"
312,subscription,Aggressive Alpha,40,Investment186,50,1845.00,37.18,1807.82,4380,1095.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
313,subscription,Capital Shield,6,Investment187,50,1895.00,49.51,1845.49,4390,1097.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
314,payout,Stable Yield,10,Investment127,55,1840.00,49.51,1790.49,4410,1102.50,"Triad payout 55 USDT (10%); unlocked by Investment186 and Investment187; +2×10 TRX (payout+withdraw)"
315,subscription,Aggressive Alpha,40,Investment188,50,1890.00,56.17,1833.83,4420,1105.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
316,surplus_payout,Stable Yield,10,Investment132,55,1835.00,1.17,1833.83,4440,1110.00,"Surplus ≥ 55; pool and surplus −55; +2×10 TRX (payout+withdraw)"
317,subscription,Aggressive Alpha,40,Investment189,50,1885.00,7.83,1877.17,4450,1112.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
318,payout,Balanced Growth,15,Investment128,57.5,1827.50,7.83,1819.67,4470,1117.50,"Triad payout 57.5 USDT (15%); unlocked by Investment188 and Investment189; +2×10 TRX (payout+withdraw)"
319,subscription,Growth Partners,25,Investment190,50,1877.50,16.99,1860.51,4480,1120.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
320,subscription,Growth Partners,25,Investment191,50,1927.50,26.15,1901.35,4490,1122.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
321,payout,Growth Partners,25,Investment129,62.5,1865.00,26.15,1838.85,4510,1127.50,"Triad payout 62.5 USDT (25%); unlocked by Investment190 and Investment191; +2×10 TRX (payout+withdraw)"
322,subscription,Capital Shield,6,Investment192,50,1915.00,38.48,1876.52,4520,1130.00,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
323,subscription,Growth Partners,25,Investment193,50,1965.00,47.64,1917.36,4530,1132.50,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
324,payout,Growth Partners,25,Investment130,62.5,1902.50,47.64,1854.86,4550,1137.50,"Triad payout 62.5 USDT (25%); unlocked by Investment192 and Investment193; +2×10 TRX (payout+withdraw)"
325,subscription,Aggressive Alpha,40,Investment194,50,1952.50,54.30,1898.20,4560,1140.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
326,surplus_payout,Capital Shield,6,Investment139,53,1899.50,1.30,1898.20,4580,1145.00,"Surplus ≥ 53; pool and surplus −53; +2×10 TRX (payout+withdraw)"
327,subscription,Capital Shield,6,Investment195,50,1949.50,13.63,1935.87,4590,1147.50,"+12.33 surplus on subscribe (Capital Shield); +10 TRX (invest)"
328,payout,Aggressive Alpha,40,Investment131,70,1879.50,13.63,1865.87,4610,1152.50,"Triad payout 70 USDT (40%); unlocked by Investment194 and Investment195; +2×10 TRX (payout+withdraw)"
329,subscription,Aggressive Alpha,40,Investment196,50,1929.50,20.29,1909.21,4620,1155.00,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
330,subscription,Aggressive Alpha,40,Investment197,50,1979.50,26.95,1952.55,4630,1157.50,"+6.66 surplus on subscribe (Aggressive Alpha); +10 TRX (invest)"
331,payout,Stable Yield,10,Investment133,55,1924.50,26.95,1897.55,4650,1162.50,"Triad payout 55 USDT (10%); unlocked by Investment196 and Investment197; +2×10 TRX (payout+withdraw)"
332,subscription,Growth Partners,25,Investment198,50,1974.50,36.11,1938.39,4660,1165.00,"+9.16 surplus on subscribe (Growth Partners); +10 TRX (invest)"
