step,event,fund,return_percent,label,amount_ars,pool_available,treasury_surplus,protected_withdrawable,mp_fee_in_cumulative,mp_fee_out_user_cumulative,iibb_cumulative,ganancias_cumulative,platform_cost_cumulative,notes
95,subscription,Aggressive Alpha,40,Investment61,100000,1998000.00,103500.00,1894500.00,366000.00,246120.00,213500.00,454625.00,1034125.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
96,subscription,Growth Partners,25,Investment62,100000,2098000.00,132250.00,1965750.00,372000.00,246120.00,217000.00,461812.50,1050812.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
97,surplus_payout,Stable Yield,10,Investment35,110000,1988000.00,22250.00,1965750.00,372000.00,252720.00,217000.00,461812.50,1050812.50,"Surplus ≥ 110000; pool and surplus −110000; user MP out ~6600 ARS (6%, absorbed by user)"
98,payout,Aggressive Alpha,40,Investment36,140000,1848000.00,22250.00,1825750.00,372000.00,261120.00,217000.00,461812.50,1050812.50,"Cohort payout 140000 ARS (40%); unlocked by Investment60, Investment61, Investment62 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
99,subscription,Stable Yield,10,Investment63,100000,1948000.00,54750.00,1893250.00,378000.00,261120.00,220500.00,469937.50,1068437.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
100,subscription,Aggressive Alpha,40,Investment64,100000,2048000.00,79750.00,1968250.00,384000.00,261120.00,224000.00,476187.50,1084187.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
101,subscription,Balanced Growth,15,Investment65,100000,2148000.00,111000.00,2037000.00,390000.00,261120.00,227500.00,484000.00,1101500.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
102,surplus_payout,Stable Yield,10,Investment37,110000,2038000.00,1000.00,2037000.00,390000.00,267720.00,227500.00,484000.00,1101500.00,"Surplus ≥ 110000; pool and surplus −110000; user MP out ~6600 ARS (6%, absorbed by user)"
103,payout,Growth Partners,25,Investment38,125000,1913000.00,1000.00,1912000.00,390000.00,275220.00,227500.00,484000.00,1101500.00,"Cohort payout 125000 ARS (25%); unlocked by Investment63, Investment64, Investment65 (3 unlockers); user MP out ~7500 ARS (6%, absorbed by user)"
104,subscription,Balanced Growth,15,Investment66,100000,2013000.00,32250.00,1980750.00,396000.00,275220.00,231000.00,491812.50,1118812.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
105,subscription,Aggressive Alpha,40,Investment67,100000,2113000.00,57250.00,2055750.00,402000.00,275220.00,234500.00,498062.50,1134562.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
106,subscription,Aggressive Alpha,40,Investment68,100000,2213000.00,82250.00,2130750.00,408000.00,275220.00,238000.00,504312.50,1150312.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
107,payout,Balanced Growth,15,Investment39,115000,2098000.00,82250.00,2015750.00,408000.00,282120.00,238000.00,504312.50,1150312.50,"Cohort payout 115000 ARS (15%); unlocked by Investment66, Investment67, Investment68 (3 unlockers); user MP out ~6900 ARS (6%, absorbed by user)"
108,subscription,Balanced Growth,15,Investment69,100000,2198000.00,113500.00,2084500.00,414000.00,282120.00,241500.00,512125.00,1167625.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
109,surplus_payout,Stable Yield,10,Investment40,110000,2088000.00,3500.00,2084500.00,414000.00,288720.00,241500.00,512125.00,1167625.00,"Surplus ≥ 110000; pool and surplus −110000; user MP out ~6600 ARS (6%, absorbed by user)"
110,subscription,Capital Shield,6,Investment70,100000,2188000.00,37000.00,2151000.00,420000.00,288720.00,245000.00,520500.00,1185500.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
111,subscription,Growth Partners,25,Investment71,100000,2288000.00,65750.00,2222250.00,426000.00,288720.00,248500.00,527687.50,1202187.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
112,payout,Balanced Growth,15,Investment41,115000,2173000.00,65750.00,2107250.00,426000.00,295620.00,248500.00,527687.50,1202187.50,"Cohort payout 115000 ARS (15%); unlocked by Investment69, Investment70, Investment71 (3 unlockers); user MP out ~6900 ARS (6%, absorbed by user)"
113,subscription,Growth Partners,25,Investment72,100000,2273000.00,94500.00,2178500.00,432000.00,295620.00,252000.00,534875.00,1218875.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
114,subscription,Stable Yield,10,Investment73,100000,2373000.00,127000.00,2246000.00,438000.00,295620.00,255500.00,543000.00,1236500.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
115,surplus_payout,Growth Partners,25,Investment42,125000,2248000.00,2000.00,2246000.00,438000.00,303120.00,255500.00,543000.00,1236500.00,"Surplus ≥ 125000; pool and surplus −125000; user MP out ~7500 ARS (6%, absorbed by user)"
116,subscription,Capital Shield,6,Investment74,100000,2348000.00,35500.00,2312500.00,444000.00,303120.00,259000.00,551375.00,1254375.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
117,payout,Aggressive Alpha,40,Investment43,140000,2208000.00,35500.00,2172500.00,444000.00,311520.00,259000.00,551375.00,1254375.00,"Cohort payout 140000 ARS (40%); unlocked by Investment72, Investment73, Investment74 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
118,subscription,Aggressive Alpha,40,Investment75,100000,2308000.00,60500.00,2247500.00,450000.00,311520.00,262500.00,557625.00,1270125.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
119,subscription,Balanced Growth,15,Investment76,100000,2408000.00,91750.00,2316250.00,456000.00,311520.00,266000.00,565437.50,1287437.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
120,subscription,Stable Yield,10,Investment77,100000,2508000.00,124250.00,2383750.00,462000.00,311520.00,269500.00,573562.50,1305062.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
121,surplus_payout,Capital Shield,6,Investment44,106000,2402000.00,18250.00,2383750.00,462000.00,317880.00,269500.00,573562.50,1305062.50,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
122,payout,Balanced Growth,15,Investment45,115000,2287000.00,18250.00,2268750.00,462000.00,324780.00,269500.00,573562.50,1305062.50,"Cohort payout 115000 ARS (15%); unlocked by Investment75, Investment76, Investment77 (3 unlockers); user MP out ~6900 ARS (6%, absorbed by user)"
123,subscription,Aggressive Alpha,40,Investment78,100000,2387000.00,43250.00,2343750.00,468000.00,324780.00,273000.00,579812.50,1320812.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
124,subscription,Stable Yield,10,Investment79,100000,2487000.00,75750.00,2411250.00,474000.00,324780.00,276500.00,587937.50,1338437.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
125,subscription,Capital Shield,6,Investment80,100000,2587000.00,109250.00,2477750.00,480000.00,324780.00,280000.00,596312.50,1356312.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
126,surplus_payout,Capital Shield,6,Investment50,106000,2481000.00,3250.00,2477750.00,480000.00,331140.00,280000.00,596312.50,1356312.50,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
127,payout,Aggressive Alpha,40,Investment46,140000,2341000.00,3250.00,2337750.00,480000.00,339540.00,280000.00,596312.50,1356312.50,"Cohort payout 140000 ARS (40%); unlocked by Investment78, Investment79, Investment80 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
128,subscription,Balanced Growth,15,Investment81,100000,2441000.00,34500.00,2406500.00,486000.00,339540.00,283500.00,604125.00,1373625.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
129,subscription,Balanced Growth,15,Investment82,100000,2541000.00,65750.00,2475250.00,492000.00,339540.00,287000.00,611937.50,1390937.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
130,subscription,Stable Yield,10,Investment83,100000,2641000.00,98250.00,2542750.00,498000.00,339540.00,290500.00,620062.50,1408562.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
131,payout,Stable Yield,10,Investment47,110000,2531000.00,98250.00,2432750.00,498000.00,346140.00,290500.00,620062.50,1408562.50,"Cohort payout 110000 ARS (10%); unlocked by Investment81, Investment82, Investment83 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
132,subscription,Capital Shield,6,Investment84,100000,2631000.00,131750.00,2499250.00,504000.00,346140.00,294000.00,628437.50,1426437.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
133,surplus_payout,Balanced Growth,15,Investment48,115000,2516000.00,16750.00,2499250.00,504000.00,353040.00,294000.00,628437.50,1426437.50,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
134,subscription,Capital Shield,6,Investment85,100000,2616000.00,50250.00,2565750.00,510000.00,353040.00,297500.00,636812.50,1444312.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
135,subscription,Capital Shield,6,Investment86,100000,2716000.00,83750.00,2632250.00,516000.00,353040.00,301000.00,645187.50,1462187.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
136,payout,Balanced Growth,15,Investment49,115000,2601000.00,83750.00,2517250.00,516000.00,359940.00,301000.00,645187.50,1462187.50,"Cohort payout 115000 ARS (15%); unlocked by Investment84, Investment85, Investment86 (3 unlockers); user MP out ~6900 ARS (6%, absorbed by user)"
137,subscription,Stable Yield,10,Investment87,100000,2701000.00,116250.00,2584750.00,522000.00,359940.00,304500.00,653312.50,1479812.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
138,surplus_payout,Capital Shield,6,Investment51,106000,2595000.00,10250.00,2584750.00,522000.00,366300.00,304500.00,653312.50,1479812.50,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
139,subscription,Capital Shield,6,Investment88,100000,2695000.00,43750.00,2651250.00,528000.00,366300.00,308000.00,661687.50,1497687.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
140,subscription,Stable Yield,10,Investment89,100000,2795000.00,76250.00,2718750.00,534000.00,366300.00,311500.00,669812.50,1515312.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
141,payout,Stable Yield,10,Investment52,110000,2685000.00,76250.00,2608750.00,534000.00,372900.00,311500.00,669812.50,1515312.50,"Cohort payout 110000 ARS (10%); unlocked by Investment87, Investment88, Investment89 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
142,subscription,Aggressive Alpha,40,Investment90,100000,2785000.00,101250.00,2683750.00,540000.00,372900.00,315000.00,676062.50,1531062.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
143,subscription,Capital Shield,6,Investment91,100000,2885000.00,134750.00,2750250.00,546000.00,372900.00,318500.00,684437.50,1548937.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
144,surplus_payout,Balanced Growth,15,Investment54,115000,2770000.00,19750.00,2750250.00,546000.00,379800.00,318500.00,684437.50,1548937.50,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
145,subscription,Aggressive Alpha,40,Investment92,100000,2870000.00,44750.00,2825250.00,552000.00,379800.00,322000.00,690687.50,1564687.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
146,payout,Aggressive Alpha,40,Investment53,140000,2730000.00,44750.00,2685250.00,552000.00,388200.00,322000.00,690687.50,1564687.50,"Cohort payout 140000 ARS (40%); unlocked by Investment90, Investment91, Investment92 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
147,subscription,Aggressive Alpha,40,Investment93,100000,2830000.00,69750.00,2760250.00,558000.00,388200.00,325500.00,696937.50,1580437.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
148,subscription,Aggressive Alpha,40,Investment94,100000,2930000.00,94750.00,2835250.00,564000.00,388200.00,329000.00,703187.50,1596187.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
149,subscription,Balanced Growth,15,Investment95,100000,3030000.00,126000.00,2904000.00,570000.00,388200.00,332500.00,711000.00,1613500.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
150,surplus_payout,Balanced Growth,15,Investment55,115000,2915000.00,11000.00,2904000.00,570000.00,395100.00,332500.00,711000.00,1613500.00,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
151,payout,Balanced Growth,15,Investment56,115000,2800000.00,11000.00,2789000.00,570000.00,402000.00,332500.00,711000.00,1613500.00,"Cohort payout 115000 ARS (15%); unlocked by Investment93, Investment94, Investment95 (3 unlockers); user MP out ~6900 ARS (6%, absorbed by user)"
152,subscription,Stable Yield,10,Investment96,100000,2900000.00,43500.00,2856500.00,576000.00,402000.00,336000.00,719125.00,1631125.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
153,subscription,Growth Partners,25,Investment97,100000,3000000.00,72250.00,2927750.00,582000.00,402000.00,339500.00,726312.50,1647812.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
154,subscription,Capital Shield,6,Investment98,100000,3100000.00,105750.00,2994250.00,588000.00,402000.00,343000.00,734687.50,1665687.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
155,payout,Capital Shield,6,Investment57,106000,2994000.00,105750.00,2888250.00,588000.00,408360.00,343000.00,734687.50,1665687.50,"Cohort payout 106000 ARS (6%); unlocked by Investment96, Investment97, Investment98 (3 unlockers); user MP out ~6360 ARS (6%, absorbed by user)"
156,subscription,Growth Partners,25,Investment99,100000,3094000.00,134500.00,2959500.00,594000.00,408360.00,346500.00,741875.00,1682375.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
157,surplus_payout,Growth Partners,25,Investment62,125000,2969000.00,9500.00,2959500.00,594000.00,415860.00,346500.00,741875.00,1682375.00,"Surplus ≥ 125000; pool and surplus −125000; user MP out ~7500 ARS (6%, absorbed by user)"
158,subscription,Growth Partners,25,Investment100,100000,3069000.00,38250.00,3030750.00,600000.00,415860.00,350000.00,749062.50,1699062.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
159,subscription,Balanced Growth,15,Investment101,100000,3169000.00,69500.00,3099500.00,606000.00,415860.00,353500.00,756875.00,1716375.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
160,payout,Aggressive Alpha,40,Investment58,140000,3029000.00,69500.00,2959500.00,606000.00,424260.00,353500.00,756875.00,1716375.00,"Cohort payout 140000 ARS (40%); unlocked by Investment99, Investment100, Investment101 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
161,subscription,Growth Partners,25,Investment102,100000,3129000.00,98250.00,3030750.00,612000.00,424260.00,357000.00,764062.50,1733062.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
162,subscription,Stable Yield,10,Investment103,100000,3229000.00,130750.00,3098250.00,618000.00,424260.00,360500.00,772187.50,1750687.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
163,surplus_payout,Stable Yield,10,Investment63,110000,3119000.00,20750.00,3098250.00,618000.00,430860.00,360500.00,772187.50,1750687.50,"Surplus ≥ 110000; pool and surplus −110000; user MP out ~6600 ARS (6%, absorbed by user)"
164,subscription,Aggressive Alpha,40,Investment104,100000,3219000.00,45750.00,3173250.00,624000.00,430860.00,364000.00,778437.50,1766437.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
165,payout,Aggressive Alpha,40,Investment59,140000,3079000.00,45750.00,3033250.00,624000.00,439260.00,364000.00,778437.50,1766437.50,"Cohort payout 140000 ARS (40%); unlocked by Investment102, Investment103, Investment104 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
166,subscription,Stable Yield,10,Investment105,100000,3179000.00,78250.00,3100750.00,630000.00,439260.00,367500.00,786562.50,1784062.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
167,subscription,Stable Yield,10,Investment106,100000,3279000.00,110750.00,3168250.00,636000.00,439260.00,371000.00,794687.50,1801687.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
168,surplus_payout,Capital Shield,6,Investment70,106000,3173000.00,4750.00,3168250.00,636000.00,445620.00,371000.00,794687.50,1801687.50,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
169,subscription,Capital Shield,6,Investment107,100000,3273000.00,38250.00,3234750.00,642000.00,445620.00,374500.00,803062.50,1819562.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
170,payout,Aggressive Alpha,40,Investment60,140000,3133000.00,38250.00,3094750.00,642000.00,454020.00,374500.00,803062.50,1819562.50,"Cohort payout 140000 ARS (40%); unlocked by Investment105, Investment106, Investment107 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
171,subscription,Growth Partners,25,Investment108,100000,3233000.00,67000.00,3166000.00,648000.00,454020.00,378000.00,810250.00,1836250.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
172,subscription,Capital Shield,6,Investment109,100000,3333000.00,100500.00,3232500.00,654000.00,454020.00,381500.00,818625.00,1854125.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
173,subscription,Stable Yield,10,Investment110,100000,3433000.00,133000.00,3300000.00,660000.00,454020.00,385000.00,826750.00,1871750.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
174,surplus_payout,Balanced Growth,15,Investment65,115000,3318000.00,18000.00,3300000.00,660000.00,460920.00,385000.00,826750.00,1871750.00,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
175,payout,Aggressive Alpha,40,Investment61,140000,3178000.00,18000.00,3160000.00,660000.00,469320.00,385000.00,826750.00,1871750.00,"Cohort payout 140000 ARS (40%); unlocked by Investment108, Investment109, Investment110 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
176,subscription,Balanced Growth,15,Investment111,100000,3278000.00,49250.00,3228750.00,666000.00,469320.00,388500.00,834562.50,1889062.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
177,subscription,Stable Yield,10,Investment112,100000,3378000.00,81750.00,3296250.00,672000.00,469320.00,392000.00,842687.50,1906687.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
178,subscription,Aggressive Alpha,40,Investment113,100000,3478000.00,106750.00,3371250.00,678000.00,469320.00,395500.00,848937.50,1922437.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
179,surplus_payout,Capital Shield,6,Investment74,106000,3372000.00,750.00,3371250.00,678000.00,475680.00,395500.00,848937.50,1922437.50,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
180,payout,Aggressive Alpha,40,Investment64,140000,3232000.00,750.00,3231250.00,678000.00,484080.00,395500.00,848937.50,1922437.50,"Cohort payout 140000 ARS (40%); unlocked by Investment111, Investment112, Investment113 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
181,subscription,Capital Shield,6,Investment114,100000,3332000.00,34250.00,3297750.00,684000.00,484080.00,399000.00,857312.50,1940312.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
182,subscription,Growth Partners,25,Investment115,100000,3432000.00,63000.00,3369000.00,690000.00,484080.00,402500.00,864500.00,1957000.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
183,subscription,Capital Shield,6,Investment116,100000,3532000.00,96500.00,3435500.00,696000.00,484080.00,406000.00,872875.00,1974875.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
184,payout,Balanced Growth,15,Investment66,115000,3417000.00,96500.00,3320500.00,696000.00,490980.00,406000.00,872875.00,1974875.00,"Cohort payout 115000 ARS (15%); unlocked by Investment114, Investment115, Investment116 (3 unlockers); user MP out ~6900 ARS (6%, absorbed by user)"
185,subscription,Balanced Growth,15,Investment117,100000,3517000.00,127750.00,3389250.00,702000.00,490980.00,409500.00,880687.50,1992187.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
186,surplus_payout,Balanced Growth,15,Investment69,115000,3402000.00,12750.00,3389250.00,702000.00,497880.00,409500.00,880687.50,1992187.50,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
187,subscription,Aggressive Alpha,40,Investment118,100000,3502000.00,37750.00,3464250.00,708000.00,497880.00,413000.00,886937.50,2007937.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
188,subscription,Capital Shield,6,Investment119,100000,3602000.00,71250.00,3530750.00,714000.00,497880.00,416500.00,895312.50,2025812.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
